name,method_type,languages,tradition,year
S1_Henning_1916,psychophysical taste tetrahedron,German;English,Western classical,1916
S2_Ikeda_1909,biochemical receptor isolation,Japanese,East Asian,1909
S3_ISO_1985,international standardisation panel,English;French;German;Spanish,international,1985
S4_Beauchamp_2009,receptor biology (T1R/T2R),English,molecular biology,2009
S5_Running_2015,psychophysical + receptor screening,English,integrative,2015
