name,method_type,languages,tradition,year
S1_Spearman_1904,correlational,English,psychometric,1904
S2_Horn_Cattell_1966,FA with age validation,English,psychometric,1966
S3_Carroll_1993,meta-analytic FA,multiple,psychometric,1993
S4_CHC_2009,integrative taxonomy,multiple,psychometric,2009
S5_Gardner_1983,theoretical criteria,English,developmental/neuropsych,1983
