name,method_type,languages,tradition,year
S1_Goldberg_1990,lexical FA,English,lexical,1990
S2_Costa_McCrae_1992,questionnaire,English,questionnaire,1992
S3_Ashton_Lee_2004,lexical FA,"English;French;German;Hungarian;Italian;Korean;Polish;Dutch;Filipino;Turkish;Greek;Croatian",cross-linguistic lexical,2004
S4_DeRaad_2010,lexical FA,"Dutch;Czech;English;Filipino;French;German;Greek;Hungarian;Italian;Korean;Polish;Spanish",cross-linguistic lexical,2010
S5_Saucier_Goldberg_1996,lexical FA,English,lexical,1996
S6_Digman_1990,meta-analysis,English,meta-analytic,1990
