name,method_type,languages,tradition,year
S1_Aaker_1997,trait FA,English,brand personality,1997
S2_CrossCultural_2001,trait FA,"Japanese;Spanish",brand personality,2001
S3_Geuens_2009,new scale FA,"Dutch;English;German;Hungarian;Italian;Polish;Romanian;Slovak;Spanish;Turkish",brand personality revised,2009
S4_Azoulay_2003,theoretical critique,French,brand identity theory,2003
